Filters
Region filter: All
Infection type filter: Bloodstream
Bacterial pathogen filter: Klebsiella pneumoniae
Antibiotic filter: Meropenem

Data for time series
"Year","Specimen","PathogenName","AbTargets","Min","Q1","Median","Q3","Max"
2018,"BLOOD","Klebsiella pneumoniae","Meropenem",0,8.263165433,17.687858901,26.945314914,55.159038014
2019,"BLOOD","Klebsiella pneumoniae","Meropenem",0,0.889089043,11.226625584,27.79548918,58.296943231
2020,"BLOOD","Klebsiella pneumoniae","Meropenem",0,1.011142483,14.072349135,39.65085639,66.860465116
2021,"BLOOD","Klebsiella pneumoniae","Meropenem",0,0.988631472,17.722235843,33.238636364,78.378378378
2022,"BLOOD","Klebsiella pneumoniae","Meropenem",0,1.040875463,18.90639481,42.164938912,82.352941176
2023,"BLOOD","Klebsiella pneumoniae","Meropenem",0,1.376921131,23.281670059,40.899704431,72.357723577


Data for line plots for individual CTAs
"Iso3","CountryTerritoryArea","WHORegionName","Year","Specimen","PathogenName","AbTargets","TotalSpecimenIsolates","InterpretableAST","Resistant","PercentResistant"
"ARG","Argentina","Region of the Americas",2018,"BLOOD","Klebsiella pneumoniae","Meropenem",7385,1525,303,19.868852459
"BHR","Bahrain","Eastern Mediterranean Region",2018,"BLOOD","Klebsiella pneumoniae","Meropenem",633,125,26,20.8
"BIH","Bosnia and Herzegovina","European Region",2018,"BLOOD","Klebsiella pneumoniae","Meropenem",841,200,34,17
"BRA","Brazil","Region of the Americas",2018,"BLOOD","Klebsiella pneumoniae","Meropenem",314,86,21,24.418604651
"ETH","Ethiopia","African Region",2018,"BLOOD","Klebsiella pneumoniae","Meropenem",122,35,11,31.428571429
"GEO","Georgia","European Region",2018,"BLOOD","Klebsiella pneumoniae","Meropenem",216,60,20,33.333333333
"IND","India","South-East Asia Region",2018,"BLOOD","Klebsiella pneumoniae","Meropenem",14459,1289,711,55.159038014
"IDN","Indonesia","South-East Asia Region",2018,"BLOOD","Klebsiella pneumoniae","Meropenem",1381,188,22,11.70212766
"IRN","Iran (Islamic Republic of)","Eastern Mediterranean Region",2018,"BLOOD","Klebsiella pneumoniae","Meropenem",1826,332,138,41.56626506
"JPN","Japan","Western Pacific Region",2018,"BLOOD","Klebsiella pneumoniae","Meropenem",126859,24537,51,0.20784937
